gene_cluster_id;focal;reference
GC_00003526;conifer;broadleaf-tree
GC_00062397;broadleaf-tree;conifer
GC_00020786;broadleaf-tree;conifer
GC_00007308;broadleaf-tree;conifer
GC_00015881;broadleaf-tree;conifer
GC_00012208;broadleaf-tree;conifer
GC_00006553;broadleaf-tree;conifer
GC_00001021;broadleaf-tree;conifer
GC_00003438;broadleaf-tree;conifer
GC_00002810;broadleaf-tree;conifer
GC_00002706;broadleaf-tree;conifer_and_shrub
GC_00003735;conifer;shrub
GC_00022947;conifer;shrub
GC_00004560;conifer;shrub
GC_00032935;conifer;shrub
GC_00007342;conifer;shrub
GC_00022853;conifer;shrub
GC_00010277;conifer;shrub
GC_00009773;conifer;shrub
GC_00007725;conifer;shrub
GC_00010056;conifer;shrub
GC_00033575;conifer;shrub
GC_00027490;conifer;shrub
GC_00007281;conifer;shrub
GC_00009161;conifer;shrub
GC_00009922;conifer;shrub
GC_00009343;conifer;shrub
GC_00004447;conifer;shrub
GC_00010544;conifer;shrub
GC_00005882;conifer;shrub
GC_00010141;conifer;shrub
GC_00002708;conifer;shrub
GC_00022579;conifer;shrub
GC_00012933;conifer;shrub
GC_00013490;conifer;shrub
GC_00006336;conifer;shrub
GC_00005511;conifer;shrub
GC_00020873;conifer;shrub
GC_00003147;conifer;shrub
GC_00011472;conifer;shrub
GC_00003340;conifer;shrub
GC_00003318;conifer;shrub
GC_00005845;conifer;shrub
GC_00012311;conifer;shrub
GC_00017399;conifer;shrub
GC_00008276;conifer;shrub
GC_00012885;conifer;shrub
GC_00010323;conifer;shrub
GC_00048553;conifer;shrub
GC_00005140;conifer;shrub
GC_00004303;conifer;shrub
GC_00047838;conifer;shrub
GC_00014361;conifer;shrub
GC_00008336;conifer;shrub
GC_00003666;conifer;shrub
GC_00016672;conifer;shrub
GC_00009716;conifer;shrub
GC_00004344;conifer;shrub
GC_00005883;conifer;shrub
GC_00004131;conifer;shrub
GC_00005902;conifer;shrub
GC_00007662;conifer;shrub
GC_00005137;conifer;shrub
GC_00004248;conifer;shrub
GC_00008907;conifer;shrub
GC_00003078;conifer;shrub
GC_00005659;conifer;shrub
GC_00002918;conifer;shrub
GC_00003900;conifer;shrub
GC_00008965;conifer;shrub
GC_00006257;conifer;shrub
GC_00012978;conifer;shrub
GC_00011910;conifer;shrub
GC_00005101;conifer;shrub
GC_00002275;conifer;shrub
GC_00004598;conifer;shrub
GC_00002950;conifer;shrub
GC_00005525;conifer;shrub
GC_00002109;conifer;shrub
GC_00004055;conifer;shrub
GC_00004107;conifer;shrub
GC_00011697;conifer;shrub
GC_00002230;conifer;shrub
GC_00001949;conifer;shrub
GC_00000874;conifer;shrub
GC_00002209;conifer;shrub
GC_00000594;conifer;shrub
GC_00008161;conifer;shrub
GC_00003209;conifer;shrub
GC_00000605;conifer;shrub
GC_00000876;conifer;shrub
GC_00001501;conifer;shrub
GC_00000620;conifer;shrub
GC_00003226;shrub;conifer
GC_00003774;shrub;conifer
GC_00006407;shrub;conifer
GC_00008833;shrub;conifer
GC_00003143;shrub;conifer
GC_00002448;shrub;conifer
GC_00004046;shrub;conifer
GC_00002757;shrub;conifer
GC_00003709;shrub;conifer
GC_00020170;shrub;conifer
GC_00009860;shrub;conifer
GC_00025654;shrub;conifer
GC_00002822;shrub;conifer
GC_00004331;shrub;conifer
GC_00003840;shrub;conifer
GC_00011420;shrub;conifer
GC_00004406;shrub;conifer
GC_00003204;shrub;conifer
GC_00003506;shrub;conifer
GC_00002929;shrub;conifer
GC_00003081;shrub;conifer
GC_00002545;shrub;conifer
GC_00005270;shrub;conifer
GC_00002254;shrub;conifer
GC_00002499;shrub;conifer
GC_00002722;shrub;conifer
GC_00003535;shrub;conifer
GC_00004416;shrub;conifer
GC_00009765;shrub;conifer
GC_00008418;shrub;conifer
GC_00002293;shrub;conifer
GC_00004218;shrub;conifer
GC_00003938;shrub;conifer
GC_00004617;shrub;conifer
GC_00003066;shrub;conifer
GC_00002193;shrub;conifer
GC_00002749;shrub;conifer
GC_00002359;shrub;conifer
GC_00000146;shrub;conifer
GC_00004214;shrub;conifer
GC_00002296;shrub;conifer
GC_00000058;shrub;conifer
GC_00005020;broadleaf-tree;shrub
GC_00004602;broadleaf-tree;shrub
GC_00003961;broadleaf-tree;shrub
GC_00005264;broadleaf-tree;shrub
GC_00004379;broadleaf-tree;shrub
GC_00000215;broadleaf-tree;shrub
GC_00002823;broadleaf-tree;shrub
GC_00001005;broadleaf-tree;shrub
GC_00003006;broadleaf-tree;shrub
GC_00000126;broadleaf-tree;shrub
GC_00000438;broadleaf-tree;shrub
GC_00000148;shrub;broadleaf-tree
GC_00000896;shrub;broadleaf-tree
GC_00003163;shrub;broadleaf-tree
GC_00003174;shrub;broadleaf-tree
